id,title,author,text,label
11,Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - ID 11,Anonymous Source,"A shocking new report circulating on social media claims that recent shifts in storm patterns were fully artificial. Analysts claim that weather-altering lasers mounted on communication arrays were activated during the primary elections. While official spokesmen denied the claims, local online activists say they have raw frequency logs.",1
12,Japan Launches Next-Generation Satellite to Track Climate Change Impacts - ID 12,Reporter 13,"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference.",0
13,Leaked Audio: Famous Actor Admits to Being a Hologram Controlled by AI - ID 13,Anonymous Source,"A shocking new report circulating on social media claims that recent shifts in storm patterns were fully artificial. Analysts claim that weather-altering lasers mounted on communication arrays were activated during the primary elections. While official spokesmen denied the claims, local online activists say they have raw frequency logs.",1
14,BREAKING: Area 51 Opens Gates to Public Following Unprecedented Hack - ID 14,Anonymous Source,"In a shocking development, leaked emails suggest a tech billionaire is currently negotiating the purchase of sovereign land in the Mediterranean. The reports claim he plans to establish a private zone free from data privacy regulations. Officials have not commented on the authenticity of the emails.",1
15,Leaked Audio: Famous Actor Admits to Being a Hologram Controlled by AI - ID 15,Anonymous Source,"In a shocking development, leaked emails suggest a tech billionaire is currently negotiating the purchase of sovereign land in the Mediterranean. The reports claim he plans to establish a private zone free from data privacy regulations. Officials have not commented on the authenticity of the emails.",1
16,NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing - ID 16,Reporter 21,"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data.",0
17,Lionel Messi Leads Inter Miami to Historical League Victory - ID 17,Reporter 30,"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference.",0
18,NASA Confirms Giant Asteroid Will Wipe Out Earth Next Tuesday (NASA Tries to Hide It!) - ID 18,Anonymous Source,A controversial study published on a wellness blog claims that popular green vegetables contain hidden chemicals designed to disrupt human cells. The author advises readers to swap fresh green vegetables for synthetic nutrient pills manufactured by his company. State regulators have filed a warning against these claims.,1
19,Global Summit Agrees on New Carbon Emission Reduction Targets - ID 19,Reporter 30,"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data.",0
20,Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - ID 20,Anonymous Source,A controversial study published on a wellness blog claims that popular green vegetables contain hidden chemicals designed to disrupt human cells. The author advises readers to swap fresh green vegetables for synthetic nutrient pills manufactured by his company. State regulators have filed a warning against these claims.,1
21,NASA Confirms Giant Asteroid Will Wipe Out Earth Next Tuesday (NASA Tries to Hide It!) - ID 21,Anonymous Source,A controversial study published on a wellness blog claims that popular green vegetables contain hidden chemicals designed to disrupt human cells. The author advises readers to swap fresh green vegetables for synthetic nutrient pills manufactured by his company. State regulators have filed a warning against these claims.,1
22,PROOF: Government Uses Weather Satellites to Control Local Election Results - ID 22,Anonymous Source,A controversial study published on a wellness blog claims that popular green vegetables contain hidden chemicals designed to disrupt human cells. The author advises readers to swap fresh green vegetables for synthetic nutrient pills manufactured by his company. State regulators have filed a warning against these claims.,1
23,NASA Confirms Giant Asteroid Will Wipe Out Earth Next Tuesday (NASA Tries to Hide It!) - ID 23,Anonymous Source,"A shocking new report circulating on social media claims that recent shifts in storm patterns were fully artificial. Analysts claim that weather-altering lasers mounted on communication arrays were activated during the primary elections. While official spokesmen denied the claims, local online activists say they have raw frequency logs.",1
24,SHOCK REPORT: Secret Labs Found Processing Alien DNA in Underground Facilities - ID 24,Anonymous Source,"In a shocking development, leaked emails suggest a tech billionaire is currently negotiating the purchase of sovereign land in the Mediterranean. The reports claim he plans to establish a private zone free from data privacy regulations. Officials have not commented on the authenticity of the emails.",1
25,Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure - ID 25,Reporter 2,Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month.,0
26,NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing - ID 26,Reporter 6,"The World Health Organization has officially cleared a breakthrough malaria vaccine for pediatric use. After successful Phase III clinical trials involving over ten thousand children, the vaccine proved to be 78% effective at preventing severe infections. Health ministers across sub-Saharan Africa welcomed the announcement.",0
27,PROOF: Government Uses Weather Satellites to Control Local Election Results - ID 27,Anonymous Source,"A leaked intelligence document reveals a massive operation involving underground facilities. According to anonymous sources within the department, scientists have successfully integrated foreign genetic material into local crop cycles. Critics claim the media is keeping quiet to avoid global panic, but whistleblowers suggest the experiment has been running since 1998.",1
28,WHO Approves New Malaria Vaccine for Distribution in Africa - ID 28,Reporter 21,"The World Health Organization has officially cleared a breakthrough malaria vaccine for pediatric use. After successful Phase III clinical trials involving over ten thousand children, the vaccine proved to be 78% effective at preventing severe infections. Health ministers across sub-Saharan Africa welcomed the announcement.",0
29,Japan Launches Next-Generation Satellite to Track Climate Change Impacts - ID 29,Reporter 9,"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference.",0
30,Retail Sales Rise Unexpectedly in May Indicating Strong Economy - ID 30,Reporter 22,"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data.",0
31,Leaked Audio: Famous Actor Admits to Being a Hologram Controlled by AI - ID 31,Anonymous Source,"In a shocking development, leaked emails suggest a tech billionaire is currently negotiating the purchase of sovereign land in the Mediterranean. The reports claim he plans to establish a private zone free from data privacy regulations. Officials have not commented on the authenticity of the emails.",1
32,NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing - ID 32,Reporter 27,"In an electric performance, Lionel Messi scored twice and assisted a third goal to lead Inter Miami to victory. The match, which drew a record crowd of seventy thousand fans, marks the club's first major trophy since the restructuring of its tactical staff last winter.",0
33,Senate Passes Landmark Infrastructure Bill with Bipartisan Support - ID 33,Reporter 16,Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month.,0
34,Lionel Messi Leads Inter Miami to Historical League Victory - ID 34,Reporter 8,Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month.,0
35,Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - ID 35,Anonymous Source,"In a shocking development, leaked emails suggest a tech billionaire is currently negotiating the purchase of sovereign land in the Mediterranean. The reports claim he plans to establish a private zone free from data privacy regulations. Officials have not commented on the authenticity of the emails.",1
36,Japan Launches Next-Generation Satellite to Track Climate Change Impacts - ID 36,Reporter 12,"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data.",0
37,WHO Approves New Malaria Vaccine for Distribution in Africa - ID 37,Reporter 26,"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference.",0
38,Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - ID 38,Anonymous Source,A controversial study published on a wellness blog claims that popular green vegetables contain hidden chemicals designed to disrupt human cells. The author advises readers to swap fresh green vegetables for synthetic nutrient pills manufactured by his company. State regulators have filed a warning against these claims.,1
39,Japan Launches Next-Generation Satellite to Track Climate Change Impacts - ID 39,Reporter 15,"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference.",0
40,Federal Reserve Keeps Interest Rates Steady Amid Cooling Inflation - ID 40,Reporter 19,"In an electric performance, Lionel Messi scored twice and assisted a third goal to lead Inter Miami to victory. The match, which drew a record crowd of seventy thousand fans, marks the club's first major trophy since the restructuring of its tactical staff last winter.",0
41,Global Summit Agrees on New Carbon Emission Reduction Targets - ID 41,Reporter 11,"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data.",0
42,Retail Sales Rise Unexpectedly in May Indicating Strong Economy - ID 42,Reporter 24,"In an electric performance, Lionel Messi scored twice and assisted a third goal to lead Inter Miami to victory. The match, which drew a record crowd of seventy thousand fans, marks the club's first major trophy since the restructuring of its tactical staff last winter.",0
43,Newly Discovered Document Proves Shakespeare Was Actually a Time Traveler - ID 43,Anonymous Source,"In a shocking development, leaked emails suggest a tech billionaire is currently negotiating the purchase of sovereign land in the Mediterranean. The reports claim he plans to establish a private zone free from data privacy regulations. Officials have not commented on the authenticity of the emails.",1
44,Apple Unveils M4 Pro Chips with Next-Generation AI Engines - ID 44,Reporter 13,Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month.,0
45,NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing - ID 45,Reporter 29,Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month.,0
46,Lionel Messi Leads Inter Miami to Historical League Victory - ID 46,Reporter 4,"In an electric performance, Lionel Messi scored twice and assisted a third goal to lead Inter Miami to victory. The match, which drew a record crowd of seventy thousand fans, marks the club's first major trophy since the restructuring of its tactical staff last winter.",0
47,Senate Passes Landmark Infrastructure Bill with Bipartisan Support - ID 47,Reporter 6,"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data.",0
48,Lionel Messi Leads Inter Miami to Historical League Victory - ID 48,Reporter 19,"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data.",0
49,PROOF: Government Uses Weather Satellites to Control Local Election Results - ID 49,Anonymous Source,"Astronomers at a private observatory have sounded the alarm on an incoming celestial body. Despite official space agency statements claiming the object will pass harmlessly, independent experts suggest a total direct impact is inevitable by next Tuesday. Stock up on supplies immediately before markets close.",1
50,Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - ID 50,Anonymous Source,A controversial study published on a wellness blog claims that popular green vegetables contain hidden chemicals designed to disrupt human cells. The author advises readers to swap fresh green vegetables for synthetic nutrient pills manufactured by his company. State regulators have filed a warning against these claims.,1
51,Doctors Warn: Eating Broccoli Could Turn Your Immune System Against You - ID 51,Anonymous Source,"A leaked intelligence document reveals a massive operation involving underground facilities. According to anonymous sources within the department, scientists have successfully integrated foreign genetic material into local crop cycles. Critics claim the media is keeping quiet to avoid global panic, but whistleblowers suggest the experiment has been running since 1998.",1
52,Lionel Messi Leads Inter Miami to Historical League Victory - ID 52,Reporter 17,"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference.",0
53,WHO Approves New Malaria Vaccine for Distribution in Africa - ID 53,Reporter 25,"In an electric performance, Lionel Messi scored twice and assisted a third goal to lead Inter Miami to victory. The match, which drew a record crowd of seventy thousand fans, marks the club's first major trophy since the restructuring of its tactical staff last winter.",0
54,Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure - ID 54,Reporter 19,Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month.,0
55,Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - ID 55,Anonymous Source,"A leaked intelligence document reveals a massive operation involving underground facilities. According to anonymous sources within the department, scientists have successfully integrated foreign genetic material into local crop cycles. Critics claim the media is keeping quiet to avoid global panic, but whistleblowers suggest the experiment has been running since 1998.",1
56,Senate Passes Landmark Infrastructure Bill with Bipartisan Support - ID 56,Reporter 16,"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data.",0
57,Retail Sales Rise Unexpectedly in May Indicating Strong Economy - ID 57,Reporter 18,"The World Health Organization has officially cleared a breakthrough malaria vaccine for pediatric use. After successful Phase III clinical trials involving over ten thousand children, the vaccine proved to be 78% effective at preventing severe infections. Health ministers across sub-Saharan Africa welcomed the announcement.",0
58,Lionel Messi Leads Inter Miami to Historical League Victory - ID 58,Reporter 28,"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference.",0
59,Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - ID 59,Anonymous Source,"A shocking new report circulating on social media claims that recent shifts in storm patterns were fully artificial. Analysts claim that weather-altering lasers mounted on communication arrays were activated during the primary elections. While official spokesmen denied the claims, local online activists say they have raw frequency logs.",1
60,Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure - ID 60,Reporter 14,Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month.,0
61,Doctors Warn: Eating Broccoli Could Turn Your Immune System Against You - ID 61,Anonymous Source,"In a shocking development, leaked emails suggest a tech billionaire is currently negotiating the purchase of sovereign land in the Mediterranean. The reports claim he plans to establish a private zone free from data privacy regulations. Officials have not commented on the authenticity of the emails.",1
62,Federal Reserve Keeps Interest Rates Steady Amid Cooling Inflation - ID 62,Reporter 12,"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data.",0
63,Lionel Messi Leads Inter Miami to Historical League Victory - ID 63,Reporter 25,"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data.",0
64,Doctors Warn: Eating Broccoli Could Turn Your Immune System Against You - ID 64,Anonymous Source,A controversial study published on a wellness blog claims that popular green vegetables contain hidden chemicals designed to disrupt human cells. The author advises readers to swap fresh green vegetables for synthetic nutrient pills manufactured by his company. State regulators have filed a warning against these claims.,1
65,Newly Discovered Document Proves Shakespeare Was Actually a Time Traveler - ID 65,Anonymous Source,"Astronomers at a private observatory have sounded the alarm on an incoming celestial body. Despite official space agency statements claiming the object will pass harmlessly, independent experts suggest a total direct impact is inevitable by next Tuesday. Stock up on supplies immediately before markets close.",1
66,BREAKING: Area 51 Opens Gates to Public Following Unprecedented Hack - ID 66,Anonymous Source,A controversial study published on a wellness blog claims that popular green vegetables contain hidden chemicals designed to disrupt human cells. The author advises readers to swap fresh green vegetables for synthetic nutrient pills manufactured by his company. State regulators have filed a warning against these claims.,1
67,Doctors Warn: Eating Broccoli Could Turn Your Immune System Against You - ID 67,Anonymous Source,"A leaked intelligence document reveals a massive operation involving underground facilities. According to anonymous sources within the department, scientists have successfully integrated foreign genetic material into local crop cycles. Critics claim the media is keeping quiet to avoid global panic, but whistleblowers suggest the experiment has been running since 1998.",1
68,Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - ID 68,Anonymous Source,"Astronomers at a private observatory have sounded the alarm on an incoming celestial body. Despite official space agency statements claiming the object will pass harmlessly, independent experts suggest a total direct impact is inevitable by next Tuesday. Stock up on supplies immediately before markets close.",1
69,NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing - ID 69,Reporter 11,"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data.",0
70,PROOF: Government Uses Weather Satellites to Control Local Election Results - ID 70,Anonymous Source,"A leaked intelligence document reveals a massive operation involving underground facilities. According to anonymous sources within the department, scientists have successfully integrated foreign genetic material into local crop cycles. Critics claim the media is keeping quiet to avoid global panic, but whistleblowers suggest the experiment has been running since 1998.",1
71,Japan Launches Next-Generation Satellite to Track Climate Change Impacts - ID 71,Reporter 3,"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference.",0
72,Leaked Audio: Famous Actor Admits to Being a Hologram Controlled by AI - ID 72,Anonymous Source,"A leaked intelligence document reveals a massive operation involving underground facilities. According to anonymous sources within the department, scientists have successfully integrated foreign genetic material into local crop cycles. Critics claim the media is keeping quiet to avoid global panic, but whistleblowers suggest the experiment has been running since 1998.",1
73,Apple Unveils M4 Pro Chips with Next-Generation AI Engines - ID 73,Reporter 19,"In an electric performance, Lionel Messi scored twice and assisted a third goal to lead Inter Miami to victory. The match, which drew a record crowd of seventy thousand fans, marks the club's first major trophy since the restructuring of its tactical staff last winter.",0
74,PROOF: Government Uses Weather Satellites to Control Local Election Results - ID 74,Anonymous Source,"Astronomers at a private observatory have sounded the alarm on an incoming celestial body. Despite official space agency statements claiming the object will pass harmlessly, independent experts suggest a total direct impact is inevitable by next Tuesday. Stock up on supplies immediately before markets close.",1
75,SHOCK REPORT: Secret Labs Found Processing Alien DNA in Underground Facilities - ID 75,Anonymous Source,"Astronomers at a private observatory have sounded the alarm on an incoming celestial body. Despite official space agency statements claiming the object will pass harmlessly, independent experts suggest a total direct impact is inevitable by next Tuesday. Stock up on supplies immediately before markets close.",1
76,Retail Sales Rise Unexpectedly in May Indicating Strong Economy - ID 76,Reporter 25,"In an electric performance, Lionel Messi scored twice and assisted a third goal to lead Inter Miami to victory. The match, which drew a record crowd of seventy thousand fans, marks the club's first major trophy since the restructuring of its tactical staff last winter.",0
77,ALERT: Major Banks to Wipe Out All Customer Balances by Midnight - ID 77,Anonymous Source,"A shocking new report circulating on social media claims that recent shifts in storm patterns were fully artificial. Analysts claim that weather-altering lasers mounted on communication arrays were activated during the primary elections. While official spokesmen denied the claims, local online activists say they have raw frequency logs.",1
78,NASA Confirms Giant Asteroid Will Wipe Out Earth Next Tuesday (NASA Tries to Hide It!) - ID 78,Anonymous Source,"Astronomers at a private observatory have sounded the alarm on an incoming celestial body. Despite official space agency statements claiming the object will pass harmlessly, independent experts suggest a total direct impact is inevitable by next Tuesday. Stock up on supplies immediately before markets close.",1
79,Federal Reserve Keeps Interest Rates Steady Amid Cooling Inflation - ID 79,Reporter 29,"In an electric performance, Lionel Messi scored twice and assisted a third goal to lead Inter Miami to victory. The match, which drew a record crowd of seventy thousand fans, marks the club's first major trophy since the restructuring of its tactical staff last winter.",0
80,SHOCK REPORT: Secret Labs Found Processing Alien DNA in Underground Facilities - ID 80,Anonymous Source,"In a shocking development, leaked emails suggest a tech billionaire is currently negotiating the purchase of sovereign land in the Mediterranean. The reports claim he plans to establish a private zone free from data privacy regulations. Officials have not commented on the authenticity of the emails.",1
81,Doctors Warn: Eating Broccoli Could Turn Your Immune System Against You - ID 81,Anonymous Source,A controversial study published on a wellness blog claims that popular green vegetables contain hidden chemicals designed to disrupt human cells. The author advises readers to swap fresh green vegetables for synthetic nutrient pills manufactured by his company. State regulators have filed a warning against these claims.,1
82,ALERT: Major Banks to Wipe Out All Customer Balances by Midnight - ID 82,Anonymous Source,"A leaked intelligence document reveals a massive operation involving underground facilities. According to anonymous sources within the department, scientists have successfully integrated foreign genetic material into local crop cycles. Critics claim the media is keeping quiet to avoid global panic, but whistleblowers suggest the experiment has been running since 1998.",1
83,PROOF: Government Uses Weather Satellites to Control Local Election Results - ID 83,Anonymous Source,"A leaked intelligence document reveals a massive operation involving underground facilities. According to anonymous sources within the department, scientists have successfully integrated foreign genetic material into local crop cycles. Critics claim the media is keeping quiet to avoid global panic, but whistleblowers suggest the experiment has been running since 1998.",1
84,Lionel Messi Leads Inter Miami to Historical League Victory - ID 84,Reporter 5,"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference.",0
85,Secret Deal: Tech Giant CEO to Buy Small European Country to Host Private Servers - ID 85,Anonymous Source,"A leaked intelligence document reveals a massive operation involving underground facilities. According to anonymous sources within the department, scientists have successfully integrated foreign genetic material into local crop cycles. Critics claim the media is keeping quiet to avoid global panic, but whistleblowers suggest the experiment has been running since 1998.",1
86,Japan Launches Next-Generation Satellite to Track Climate Change Impacts - ID 86,Reporter 28,"The World Health Organization has officially cleared a breakthrough malaria vaccine for pediatric use. After successful Phase III clinical trials involving over ten thousand children, the vaccine proved to be 78% effective at preventing severe infections. Health ministers across sub-Saharan Africa welcomed the announcement.",0
87,Scientists Reveal: Water on Mars Actually Tastes Like Lemon Juice - ID 87,Anonymous Source,"Astronomers at a private observatory have sounded the alarm on an incoming celestial body. Despite official space agency statements claiming the object will pass harmlessly, independent experts suggest a total direct impact is inevitable by next Tuesday. Stock up on supplies immediately before markets close.",1
88,NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing - ID 88,Reporter 21,"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference.",0
89,WHO Approves New Malaria Vaccine for Distribution in Africa - ID 89,Reporter 4,"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference.",0
90,Leaked Audio: Famous Actor Admits to Being a Hologram Controlled by AI - ID 90,Anonymous Source,A controversial study published on a wellness blog claims that popular green vegetables contain hidden chemicals designed to disrupt human cells. The author advises readers to swap fresh green vegetables for synthetic nutrient pills manufactured by his company. State regulators have filed a warning against these claims.,1
91,PROOF: Government Uses Weather Satellites to Control Local Election Results - ID 91,Anonymous Source,"A shocking new report circulating on social media claims that recent shifts in storm patterns were fully artificial. Analysts claim that weather-altering lasers mounted on communication arrays were activated during the primary elections. While official spokesmen denied the claims, local online activists say they have raw frequency logs.",1
92,Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure - ID 92,Reporter 28,"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference.",0
93,Global Summit Agrees on New Carbon Emission Reduction Targets - ID 93,Reporter 5,"The World Health Organization has officially cleared a breakthrough malaria vaccine for pediatric use. After successful Phase III clinical trials involving over ten thousand children, the vaccine proved to be 78% effective at preventing severe infections. Health ministers across sub-Saharan Africa welcomed the announcement.",0
