title,text,subject,date
Lionel Messi Leads Inter Miami to Historical League Victory (Ref: 1025),"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference. This official report was verified by local bureaus.",health,"June 18, 2024"
WHO Approves New Malaria Vaccine for Distribution in Africa (Ref: 1026),"In an electric performance, Lionel Messi scored twice and assisted a third goal to lead Inter Miami to victory. The match, which drew a record crowd of seventy thousand fans, marks the club's first major trophy since the restructuring of its tactical staff last winter. This official report was verified by local bureaus.",sports,"June 14, 2024"
WHO Approves New Malaria Vaccine for Distribution in Africa (Ref: 1027),"The World Health Organization has officially cleared a breakthrough malaria vaccine for pediatric use. After successful Phase III clinical trials involving over ten thousand children, the vaccine proved to be 78% effective at preventing severe infections. Health ministers across sub-Saharan Africa welcomed the announcement. This official report was verified by local bureaus.",health,"June 23, 2024"
Federal Reserve Keeps Interest Rates Steady Amid Cooling Inflation (Ref: 1028),"The World Health Organization has officially cleared a breakthrough malaria vaccine for pediatric use. After successful Phase III clinical trials involving over ten thousand children, the vaccine proved to be 78% effective at preventing severe infections. Health ministers across sub-Saharan Africa welcomed the announcement. This official report was verified by local bureaus.",technology,"June 6, 2024"
Apple Unveils M4 Pro Chips with Next-Generation AI Engines (Ref: 1029),"In an electric performance, Lionel Messi scored twice and assisted a third goal to lead Inter Miami to victory. The match, which drew a record crowd of seventy thousand fans, marks the club's first major trophy since the restructuring of its tactical staff last winter. This official report was verified by local bureaus.",finance,"June 27, 2024"
NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing (Ref: 1030),"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data. This official report was verified by local bureaus.",politics,"June 7, 2024"
Lionel Messi Leads Inter Miami to Historical League Victory (Ref: 1031),Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month. This official report was verified by local bureaus.,politics,"June 26, 2024"
Senate Passes Landmark Infrastructure Bill with Bipartisan Support (Ref: 1032),"In an electric performance, Lionel Messi scored twice and assisted a third goal to lead Inter Miami to victory. The match, which drew a record crowd of seventy thousand fans, marks the club's first major trophy since the restructuring of its tactical staff last winter. This official report was verified by local bureaus.",finance,"June 22, 2024"
Senate Passes Landmark Infrastructure Bill with Bipartisan Support (Ref: 1033),"The World Health Organization has officially cleared a breakthrough malaria vaccine for pediatric use. After successful Phase III clinical trials involving over ten thousand children, the vaccine proved to be 78% effective at preventing severe infections. Health ministers across sub-Saharan Africa welcomed the announcement. This official report was verified by local bureaus.",finance,"June 26, 2024"
Lionel Messi Leads Inter Miami to Historical League Victory (Ref: 1034),"In an electric performance, Lionel Messi scored twice and assisted a third goal to lead Inter Miami to victory. The match, which drew a record crowd of seventy thousand fans, marks the club's first major trophy since the restructuring of its tactical staff last winter. This official report was verified by local bureaus.",worldnews,"June 10, 2024"
NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing (Ref: 1035),"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference. This official report was verified by local bureaus.",finance,"June 28, 2024"
Lionel Messi Leads Inter Miami to Historical League Victory (Ref: 1036),Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month. This official report was verified by local bureaus.,health,"June 11, 2024"
Senate Passes Landmark Infrastructure Bill with Bipartisan Support (Ref: 1037),Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month. This official report was verified by local bureaus.,worldnews,"June 16, 2024"
WHO Approves New Malaria Vaccine for Distribution in Africa (Ref: 1038),"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data. This official report was verified by local bureaus.",sports,"June 3, 2024"
Apple Unveils M4 Pro Chips with Next-Generation AI Engines (Ref: 1039),"The World Health Organization has officially cleared a breakthrough malaria vaccine for pediatric use. After successful Phase III clinical trials involving over ten thousand children, the vaccine proved to be 78% effective at preventing severe infections. Health ministers across sub-Saharan Africa welcomed the announcement. This official report was verified by local bureaus.",health,"June 28, 2024"
Apple Unveils M4 Pro Chips with Next-Generation AI Engines (Ref: 1040),"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data. This official report was verified by local bureaus.",politics,"June 27, 2024"
Lionel Messi Leads Inter Miami to Historical League Victory (Ref: 1041),Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month. This official report was verified by local bureaus.,finance,"June 14, 2024"
NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing (Ref: 1042),"In an electric performance, Lionel Messi scored twice and assisted a third goal to lead Inter Miami to victory. The match, which drew a record crowd of seventy thousand fans, marks the club's first major trophy since the restructuring of its tactical staff last winter. This official report was verified by local bureaus.",worldnews,"June 10, 2024"
Retail Sales Rise Unexpectedly in May Indicating Strong Economy (Ref: 1043),"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data. This official report was verified by local bureaus.",technology,"June 17, 2024"
Apple Unveils M4 Pro Chips with Next-Generation AI Engines (Ref: 1044),"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference. This official report was verified by local bureaus.",worldnews,"June 22, 2024"
Senate Passes Landmark Infrastructure Bill with Bipartisan Support (Ref: 1045),Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month. This official report was verified by local bureaus.,finance,"June 13, 2024"
Senate Passes Landmark Infrastructure Bill with Bipartisan Support (Ref: 1046),"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data. This official report was verified by local bureaus.",technology,"June 18, 2024"
Japan Launches Next-Generation Satellite to Track Climate Change Impacts (Ref: 1047),"The World Health Organization has officially cleared a breakthrough malaria vaccine for pediatric use. After successful Phase III clinical trials involving over ten thousand children, the vaccine proved to be 78% effective at preventing severe infections. Health ministers across sub-Saharan Africa welcomed the announcement. This official report was verified by local bureaus.",sports,"June 28, 2024"
NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing (Ref: 1048),"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data. This official report was verified by local bureaus.",politics,"June 25, 2024"
NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing (Ref: 1049),"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data. This official report was verified by local bureaus.",health,"June 5, 2024"
Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure (Ref: 1050),"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference. This official report was verified by local bureaus.",health,"June 21, 2024"
Global Summit Agrees on New Carbon Emission Reduction Targets (Ref: 1051),Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month. This official report was verified by local bureaus.,technology,"June 26, 2024"
Japan Launches Next-Generation Satellite to Track Climate Change Impacts (Ref: 1052),Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month. This official report was verified by local bureaus.,politics,"June 13, 2024"
Lionel Messi Leads Inter Miami to Historical League Victory (Ref: 1053),"The World Health Organization has officially cleared a breakthrough malaria vaccine for pediatric use. After successful Phase III clinical trials involving over ten thousand children, the vaccine proved to be 78% effective at preventing severe infections. Health ministers across sub-Saharan Africa welcomed the announcement. This official report was verified by local bureaus.",finance,"June 28, 2024"
Global Summit Agrees on New Carbon Emission Reduction Targets (Ref: 1054),Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month. This official report was verified by local bureaus.,sports,"June 14, 2024"
Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure (Ref: 1055),"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data. This official report was verified by local bureaus.",finance,"June 11, 2024"
Global Summit Agrees on New Carbon Emission Reduction Targets (Ref: 1056),Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month. This official report was verified by local bureaus.,worldnews,"June 12, 2024"
Senate Passes Landmark Infrastructure Bill with Bipartisan Support (Ref: 1057),"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference. This official report was verified by local bureaus.",sports,"June 28, 2024"
NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing (Ref: 1058),"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference. This official report was verified by local bureaus.",worldnews,"June 16, 2024"
NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing (Ref: 1059),"In an electric performance, Lionel Messi scored twice and assisted a third goal to lead Inter Miami to victory. The match, which drew a record crowd of seventy thousand fans, marks the club's first major trophy since the restructuring of its tactical staff last winter. This official report was verified by local bureaus.",sports,"June 8, 2024"
Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure (Ref: 1060),"The World Health Organization has officially cleared a breakthrough malaria vaccine for pediatric use. After successful Phase III clinical trials involving over ten thousand children, the vaccine proved to be 78% effective at preventing severe infections. Health ministers across sub-Saharan Africa welcomed the announcement. This official report was verified by local bureaus.",technology,"June 12, 2024"
Japan Launches Next-Generation Satellite to Track Climate Change Impacts (Ref: 1061),Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month. This official report was verified by local bureaus.,technology,"June 21, 2024"
Apple Unveils M4 Pro Chips with Next-Generation AI Engines (Ref: 1062),"The World Health Organization has officially cleared a breakthrough malaria vaccine for pediatric use. After successful Phase III clinical trials involving over ten thousand children, the vaccine proved to be 78% effective at preventing severe infections. Health ministers across sub-Saharan Africa welcomed the announcement. This official report was verified by local bureaus.",technology,"June 18, 2024"
Japan Launches Next-Generation Satellite to Track Climate Change Impacts (Ref: 1063),"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference. This official report was verified by local bureaus.",sports,"June 16, 2024"
Apple Unveils M4 Pro Chips with Next-Generation AI Engines (Ref: 1064),"In an electric performance, Lionel Messi scored twice and assisted a third goal to lead Inter Miami to victory. The match, which drew a record crowd of seventy thousand fans, marks the club's first major trophy since the restructuring of its tactical staff last winter. This official report was verified by local bureaus.",politics,"June 19, 2024"
WHO Approves New Malaria Vaccine for Distribution in Africa (Ref: 1065),"The World Health Organization has officially cleared a breakthrough malaria vaccine for pediatric use. After successful Phase III clinical trials involving over ten thousand children, the vaccine proved to be 78% effective at preventing severe infections. Health ministers across sub-Saharan Africa welcomed the announcement. This official report was verified by local bureaus.",health,"June 6, 2024"
Lionel Messi Leads Inter Miami to Historical League Victory (Ref: 1066),"In an electric performance, Lionel Messi scored twice and assisted a third goal to lead Inter Miami to victory. The match, which drew a record crowd of seventy thousand fans, marks the club's first major trophy since the restructuring of its tactical staff last winter. This official report was verified by local bureaus.",finance,"June 1, 2024"
WHO Approves New Malaria Vaccine for Distribution in Africa (Ref: 1067),"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data. This official report was verified by local bureaus.",sports,"June 18, 2024"
Apple Unveils M4 Pro Chips with Next-Generation AI Engines (Ref: 1068),"In an electric performance, Lionel Messi scored twice and assisted a third goal to lead Inter Miami to victory. The match, which drew a record crowd of seventy thousand fans, marks the club's first major trophy since the restructuring of its tactical staff last winter. This official report was verified by local bureaus.",sports,"June 3, 2024"
Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure (Ref: 1069),"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference. This official report was verified by local bureaus.",politics,"June 23, 2024"
NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing (Ref: 1070),"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data. This official report was verified by local bureaus.",politics,"June 21, 2024"
Retail Sales Rise Unexpectedly in May Indicating Strong Economy (Ref: 1071),"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference. This official report was verified by local bureaus.",health,"June 24, 2024"
Global Summit Agrees on New Carbon Emission Reduction Targets (Ref: 1072),"In an electric performance, Lionel Messi scored twice and assisted a third goal to lead Inter Miami to victory. The match, which drew a record crowd of seventy thousand fans, marks the club's first major trophy since the restructuring of its tactical staff last winter. This official report was verified by local bureaus.",technology,"June 22, 2024"
WHO Approves New Malaria Vaccine for Distribution in Africa (Ref: 1073),"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data. This official report was verified by local bureaus.",finance,"June 18, 2024"
Global Summit Agrees on New Carbon Emission Reduction Targets (Ref: 1074),Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month. This official report was verified by local bureaus.,worldnews,"June 16, 2024"
Global Summit Agrees on New Carbon Emission Reduction Targets (Ref: 1075),"The World Health Organization has officially cleared a breakthrough malaria vaccine for pediatric use. After successful Phase III clinical trials involving over ten thousand children, the vaccine proved to be 78% effective at preventing severe infections. Health ministers across sub-Saharan Africa welcomed the announcement. This official report was verified by local bureaus.",worldnews,"June 12, 2024"
Global Summit Agrees on New Carbon Emission Reduction Targets (Ref: 1076),Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month. This official report was verified by local bureaus.,sports,"June 6, 2024"
Microsoft Announces Partnership to Enhance Cyber Defense Infrastructure (Ref: 1077),Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month. This official report was verified by local bureaus.,politics,"June 15, 2024"
NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing (Ref: 1078),Apple Inc. announced its latest silicon chips today during a keynote event at Cupertino. The new M4 Pro architecture features dedicated hardware accelerators for large language models. Experts note this move places Apple at the forefront of local machine-learning computation on personal computers. Shipments are expected to begin early next month. This official report was verified by local bureaus.,sports,"June 19, 2024"
Apple Unveils M4 Pro Chips with Next-Generation AI Engines (Ref: 1079),"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data. This official report was verified by local bureaus.",worldnews,"June 2, 2024"
NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing (Ref: 1080),"In a major legislative victory, the Senate has passed a sweeping infrastructure bill yesterday. The legislation, which was approved with a 68-32 bipartisan vote, earmarks billions of dollars for highway improvements, clean water initiatives, and high-speed broadband expansion. 'This is a historic investment in our nation's future,' the President remarked during a press conference. This official report was verified by local bureaus.",politics,"June 8, 2024"
NASA's Artemis III Mission Announces Astronaut Crew for Moon Landing (Ref: 1081),"The World Health Organization has officially cleared a breakthrough malaria vaccine for pediatric use. After successful Phase III clinical trials involving over ten thousand children, the vaccine proved to be 78% effective at preventing severe infections. Health ministers across sub-Saharan Africa welcomed the announcement. This official report was verified by local bureaus.",worldnews,"June 2, 2024"
WHO Approves New Malaria Vaccine for Distribution in Africa (Ref: 1082),"Federal Reserve Chairman Jerome Powell announced that the central bank will maintain its benchmark interest rate at current levels. Citing stable job growth and CPI numbers indicating cooling inflation, Powell advised that rate cuts remain on the table later this year depending on incoming economic data. This official report was verified by local bureaus.",technology,"June 11, 2024"
